index,company_name,industry,revenue_range,hg_rank,hg_score,imd_rank,imd_score,total_jobs,ai_jobs,ai_job_ratio
275,mobile programming,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999",276,26,,,,,
276,government of canada,Public Administration,"Over $1,000,000,000",277,26,,,,,
277,northeastern university,Educational Services,"Over $1,000,000,000",278,26,,,,,
278,yahoo,"Professional, Scientific and Technical Services","Over $1,000,000,000",279,26,,,,,
279,amgen,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",280,26,186.0,34.0,,,
280,mitre,"Professional, Scientific and Technical Services","Over $1,000,000,000",281,26,,,,,
281,northwestern university,Educational Services,"Over $1,000,000,000",282,26,,,,,
282,bank of montreal,Banking and Financial Services,"Over $1,000,000,000",283,25,110.0,43.0,,,
283,delta air lines,Travel and Tourism,"Over $1,000,000,000",284,25,271.0,22.0,,,
284,linkontro nielseniq,"Professional, Scientific and Technical Services",Unknown,285,25,,,,,
285,tamcherry technologies private,,"$1,000,000 to $9,999,999",286,25,,,,,
286,united airlines,Travel and Tourism,"Over $1,000,000,000",287,25,,,,,
287,moodys,"Professional, Scientific and Technical Services","Over $1,000,000,000",288,25,,,,,
288,data in science technologies,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999",289,25,,,,,
289,genentech,"Professional, Scientific and Technical Services","Over $1,000,000,000",290,25,,,,,
290,a medium,Media and Entertainment,"$1,000,000 to $9,999,999",291,25,,,,,
291,aristocrat leisure,"Professional, Scientific and Technical Services","Over $1,000,000,000",292,25,,,,,
292,chase,Banking and Financial Services,"Over $1,000,000,000",293,25,,,,,
293,singapore telecommunications,Telecommunications,"Over $1,000,000,000",294,25,,,,,
294,crowdstrike,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",295,25,,,,,
295,bdo korea,"Professional, Scientific and Technical Services","$500,000,000 to $999,999,999",296,25,,,,,
296,omega venture partners,Banking and Financial Services,"$10,000,000 to $49,999,999",297,25,,,,,
297,northern trust,Banking and Financial Services,"Over $1,000,000,000",298,25,,,,,
298,stellantis n v,Manufacturing,"Over $1,000,000,000",299,25,80.0,49.0,,,
299,motor transportation division new mexico,Public Administration,Unknown,300,25,,,,,
