rank,effectiveness,company,customer_satisfaction,employee_engagement,innovation,social_responsibility,financial_strength
233,54.1,On Semiconductor Corp,50.1,47.5,45.9,65.6,53.4
233,54.1,Trimble Inc,57.0,55.0,47.9,55.8,45.2
239,54.0,3M Co,44.1,49.6,73.4,51.7,39.8
239,54.0,Baker Hughes Company,45.5,55.1,51.4,61.2,48.2
239,54.0,Cintas Corp,55.3,48.0,53.3,50.9,58.3
239,54.0,Sherwin-Williams Co,55.7,51.8,52.6,50.8,53.2
243,53.9,Bunge Global SA,52.9,56.5,50.1,51.2,53.2
243,53.9,Corning Inc,51.2,50.1,56.3,56.8,45.5
243,53.9,Regions Financial Corp,51.7,47.1,49.7,65.0,44.9
243,53.9,TJX Cos Inc,53.5,48.2,42.2,60.0,62.0
247,53.8,"Expedia Group, Inc.",51.0,52.2,57.7,52.1,48.5
247,53.8,Fortune Brands Innovations Inc,63.3,50.8,49.4,50.6,46.4
247,53.8,GE Healthcare Technologies Inc.,60.5,57.6,51.1,44.2,49.5
247,53.8,Keurig Dr Pepper Inc,58.5,41.4,51.7,60.5,47.2
