rank,company,ticker,industry,city,state,country,revenue,profit,assets,employees
312,Landesbank Baden-Wurttemberg,~,Banks: Commercial and Savings,Stuttgart,~,Germany,$48.57B,$1.08B,$368.13B,10.43K
313,EXOR Group,EXXRF,Diversified Financials,Amsterdam,~,Netherlands,$48.37B,$4.53B,$104.68B,83.77K
314,Jingye Group,~,Metals,Shijiazhuang,~,China,$48.12B,$248.9M,$13.37B,33K
315,UniCredit Group,UNCRY,Banks: Commercial and Savings,Milan,~,Italy,$48.04B,$10.28B,$866.99B,70.75K
316,Energie Baden-Wurttemberg,~,Utilities,Karlsruhe,~,Germany,$48.03B,$1.66B,$71.48B,26.94K
317,Tokyo Electric Power,TKECY,Utilities,Tokyo,~,Japan,$47.87B,$1.85B,$96.52B,38.18K
318,Sumitomo,SSUMY,Trading,Tokyo,~,Japan,$47.81B,$2.67B,$72.96B,79.69K
319,World Kinect,WKC,Energy,Miami,Florida,U.S.,$47.71B,$52.9M,$7.38B,5.29K
320,Orange,ORAN,Telecommunications,Issy-les-Moulineaux,~,France,$47.7B,$2.64B,$121.55B,127.11K
321,HD Hyundai,~,Petroleum Refining,"Seongnam-si, Gyeonggi-do",~,South Korea,$46.96B,$202.5M,$52.48B,34.1K
322,Ingka Group,~,Specialty Retailers,Leiden,~,Netherlands,$46.94B,$1.6B,$61.28B,165.35K
323,ANZ Group Holdings,ANZGY,Banks: Commercial and Savings,Docklands,~,Australia,$46.83B,$4.72B,$712.71B,40.34K
324,AIG,AIG,Insurance: Property and Casualty (Stock),New York,New York,U.S.,$46.8B,$3.64B,$539.31B,25.2K
325,SoftBank Group,SFTBY,Telecommunications,Tokyo,~,Japan,$46.75B,$-1.58B,$308.98B,65.35K
326,Sinomach,~,Industrial Machinery,Beijing,~,China,$46.48B,$181.6M,$45.85B,117.36K
327,Talanx,~,Insurance: Property and Casualty (Stock),Hanover,~,Germany,$46.16B,$1.71B,$187.04B,27.86K
328,America Movil,AMX,Telecommunications,Mexico City,~,Mexico,$46.01B,$4.29B,$92.4B,176.08K
329,AstraZeneca,AZN,Pharmaceuticals,Cambridge,~,Britain,$45.81B,$5.96B,$101.12B,89.9K
330,Zhejiang Communications Investment Group,~,Transportation and Logistics,Hangzhou,~,China,$45.77B,$763.6M,$131.77B,43.27K
331,China Pacific Insurance (Group),CHPXF,"Insurance: Life, Health (stock)",Shanghai,~,China,$45.76B,$3.85B,$330.24B,98.73K
332,Coca-Cola,KO,Beverages,Atlanta,Georgia,U.S.,$45.75B,$10.71B,$97.7B,79.1K
333,TIAA,~,"Insurance: Life, Health (Mutual)",New York,New York,U.S.,$45.73B,$-1.41B,$629.37B,16.02K
334,Caixa Economica Federal,~,Banks: Commercial and Savings,Brasilia,~,Brazil,$45.71B,$2.35B,$377.31B,86.96K
335,CHS,~,Food Production,Inver Grove Heights,Minnesota,U.S.,$45.59B,$1.9B,$18.96B,10.61K
336,China Huadian,~,Utilities,Beijing,~,China,$45.53B,$1.91B,$154.66B,93.46K
337,Credit Mutuel Group,~,Diversified Financials,Strasbourg,~,France,$45.49B,$4.26B,$1.01T,77.28K
338,MS&AD Insurance Group Holdings,MSADY,Insurance: Property and Casualty (Stock),Tokyo,~,Japan,$45.48B,$2.56B,$178.28B,38.39K
339,Hyundai Mobis,~,Motor Vehicles & Parts,Seoul,~,South Korea,$45.37B,$2.62B,$45.23B,46.18K
340,Susun Construction Group,~,Engineering & Construction,Shanghai,~,China,$45.27B,$1.14B,$33.33B,141.26K
341,SNCF Group,~,Railroads,St. Denis,~,France,$45.15B,$1.42B,$143.86B,282.79K
342,Bristol-Myers Squibb,BMY,Pharmaceuticals,Princeton,New Jersey,U.S.,$45.01B,$8.03B,$95.16B,34.1K
343,China South Industries Group,~,Aerospace & Defense,Beijing,~,China,$44.79B,$1.14B,$65.36B,159.84K
344,Continental,CTTAY,Motor Vehicles & Parts,Hanover,~,Germany,$44.78B,$1.25B,$41.7B,202.76K
345,Raizen,~,Petroleum Refining,Sao Paulo,~,Brazil,$44.69B,$105.6M,$25.56B,45.42K
346,Dow,DOW,Chemicals,Midland,Michigan,U.S.,$44.62B,$589M,$57.97B,35.9K
347,George Weston,WNGRF,Food & Drug Stores,Toronto,~,Canada,$44.56B,$1.14B,$37.75B,220.28K
348,L'Oreal,LRLCY,Household and Personal Products,Clichy,~,France,$44.52B,$6.69B,$57.27B,94.61K
349,Fomento Economico Mexicano,FMX,Beverages,Monterrey,~,Mexico,$44.17B,$3.7B,$47.6B,392.93K
350,Telefonica,TEF,Telecommunications,Madrid,~,Spain,$43.95B,$-964.3M,$115.22B,104.14K
351,China Minsheng Banking,CMAKY,Banks: Commercial and Savings,Beijing,~,China,$43.55B,$5.06B,$1.08T,63.74K
352,Best Buy,BBY,Specialty Retailers,Richfield,Minnesota,U.S.,$43.45B,$1.24B,$14.97B,85K
353,Woolworths Group,WOLWF,Food & Drug Stores,Bella Vista,~,Australia,$43.26B,$1.09B,$22.41B,200.36K
354,Shanghai Construction Group,~,Engineering & Construction,Shanghai,~,China,$43.03B,$220.1M,$53.83B,51.27K
355,LG Chem,~,Chemicals,Seoul,~,South Korea,$42.92B,$1.02B,$59.8B,40K
356,Thermo Fisher Scientific,TMO,Medical Products and Equipment,Waltham,Massachusetts,U.S.,$42.86B,$6B,$98.73B,122K
357,Magna International,MGA,Motor Vehicles & Parts,"Aurora, Ontario",~,Canada,$42.8B,$1.21B,$32.26B,166K
358,OMV Group,OMVKY,Petroleum Refining,Vienna,~,Austria,$42.66B,$1.68B,$55.96B,20.59K
359,Massachusetts Mutual Life Insurance,~,"Insurance: Life, Health (Mutual)",Springfield,Massachusetts,U.S.,$42.64B,$-771.6M,$397.89B,11.32K
360,USAA,~,Insurance: Property and Casualty (Stock),San Antonio,Texas,U.S.,$42.49B,$1.21B,$211.64B,37.38K
361,Guangzhou Municipal Construction Group,~,Engineering & Construction,Guangzhou,~,China,$42.4B,$152M,$29.9B,50.61K
362,General Dynamics,GD,Aerospace & Defense,Reston,Virginia,U.S.,$42.27B,$3.31B,$54.81B,111.6K
363,Vale,VALE,"Mining, Crude-Oil Production",Rio de Janeiro,~,Brazil,$41.78B,$7.98B,$94.19B,66.81K
364,Zijin Mining Group,ZIJMY,Metals,Longyan,~,China,$41.45B,$2.98B,$48.33B,55.24K
365,Travelers,TRV,Insurance: Property and Casualty (Stock),New York,New York,U.S.,$41.36B,$2.99B,$125.98B,33.13K
366,Warner Bros. Discovery,WBD,Entertainment,New York,New York,U.S.,$41.32B,$-3.13B,$122.76B,35.3K
367,Canadian Imperial Bank of Commerce,CM,Banks: Commercial and Savings,Toronto,~,Canada,$41.17B,$3.7B,$703.07B,48.07K
368,LyondellBasell Industries,LYB,Chemicals,Rotterdam,~,Netherlands,$41.11B,$2.11B,$37B,20K
369,J. Sainsbury,JSAIY,Food & Drug Stores,London,~,Britain,$41.09B,$172.1M,$31.67B,100K
370,Shenzhen Investment Holdings,~,Diversified Financials,Shenzhen,~,China,$41.03B,$1.41B,$162.42B,103.93K
371,Ansteel Group,~,Metals,Anshan,~,China,$40.68B,$-83.1M,$68B,149.76K
372,Hanwha,~,Diversified Financials,Seoul,~,South Korea,$40.68B,$291.3M,$161.91B,69.34K
373,U.S. Bancorp,USB,Banks: Commercial and Savings,Minneapolis,Minnesota,U.S.,$40.62B,$5.43B,$663.49B,75.47K
374,Lufthansa Group,DLAKY,Airlines,Cologne,~,Germany,$40.46B,$1.81B,$50.06B,79.76K
375,Pegatron,~,"Electronics, Electrical Equip.",Taipei,~,Taiwan,$40.36B,$504.6M,$18.18B,147.36K
376,Abbott Laboratories,ABT,Medical Products and Equipment,Abbott Park,Illinois,U.S.,$40.11B,$5.72B,$73.21B,114K
377,ThyssenKrupp,TKAMY,Metals,Essen,~,Germany,$40.03B,$-2.21B,$35.23B,99.98K
378,New Hope Holding Group,~,Food Production,Chengdu,~,China,$39.99B,$-93M,$41.77B,79.07K
379,KDDI,KDDIY,Telecommunications,Tokyo,~,Japan,$39.81B,$4.41B,$93.55B,61.29K
380,China National Nuclear,~,Energy,Beijing,~,China,$39.63B,$1.3B,$188.57B,182.75K
