indexname,gvkey,tic,companyname
S&P 500,008245,PNC,"The PNC Financial Services Group, Inc."
S&P 500,008762,PG,The Procter & Gamble Company
S&P 500,013341,PGR,The Progressive Corporation
S&P 500,009667,SHW,The Sherwin-Williams Company
S&P 500,009850,SO,The Southern Company
S&P 500,011672,TJX,"The TJX Companies, Inc."
S&P 500,027885,TTD,"The Trade Desk, Inc."
S&P 500,062689,TRV,"The Travelers Companies, Inc."
S&P 500,003980,DIS,The Walt Disney Company
S&P 500,011506,WMB,"The Williams Companies, Inc."
S&P 500,010530,TMO,Thermo Fisher Scientific Inc.
S&P 500,029736,TSCO,Tractor Supply Company
S&P 500,005959,TT,Trane Technologies plc
S&P 500,148349,TDG,TransDigm Group Incorporated
S&P 500,022815,TRMB,Trimble Inc.
S&P 500,011856,TFC,Truist Financial Corporation
S&P 500,010789,TYL,"Tyler Technologies, Inc."
S&P 500,010793,TSN,"Tyson Foods, Inc."
S&P 500,004723,USB,U.S. Bancorp
S&P 500,010894,UDR,"UDR, Inc."
S&P 500,035077,UBER,"Uber Technologies, Inc."
S&P 500,178704,ULTA,"Ulta Beauty, Inc."
S&P 500,010867,UNP,Union Pacific Corporation
S&P 500,010795,UAL,"United Airlines Holdings, Inc."
S&P 500,010920,UPS,"United Parcel Service, Inc."
S&P 500,066065,URI,"United Rentals, Inc."
S&P 500,010903,UNH,UnitedHealth Group Incorporated
S&P 500,011032,UHS,"Universal Health Services, Inc."
S&P 500,032580,VICI,VICI Properties Inc.
S&P 500,015247,VLO,Valero Energy Corporation
S&P 500,018689,VEEV,Veeva Systems Inc.
S&P 500,110179,VTR,"Ventas, Inc."
S&P 500,043197,VLTO,Veralto Corporation
S&P 500,066368,VRSN,"VeriSign, Inc."
S&P 500,180652,VRSK,"Verisk Analytics, Inc."
S&P 500,002136,VZ,Verizon Communications Inc.
S&P 500,024344,VRTX,Vertex Pharmaceuticals Incorporated
S&P 500,036175,VRT,Vertiv Holdings Co
S&P 500,007637,VTRS,Viatris Inc.
S&P 500,179534,V,Visa Inc.
S&P 500,157373,VST,Vistra Corp.
S&P 500,011228,VMC,Vulcan Materials Company
S&P 500,014822,WRB,W. R. Berkley Corporation
S&P 500,005256,GWW,"W.W. Grainger, Inc."
S&P 500,011550,WEC,"WEC Energy Group, Inc."
S&P 500,011259,WMT,Walmart Inc.
S&P 500,164296,WBD,"Warner Bros. Discovery, Inc."
S&P 500,014477,WM,"Waste Management, Inc."
S&P 500,061574,WAT,Waters Corporation
S&P 500,008007,WFC,Wells Fargo & Company
S&P 500,005543,WELL,Welltower Inc.
S&P 500,011376,WST,"West Pharmaceutical Services, Inc."
S&P 500,011399,WDC,Western Digital Corporation
S&P 500,060979,WAB,Westinghouse Air Brake Technologies Corporation
S&P 500,011456,WY,Weyerhaeuser Company
S&P 500,011511,WSM,"Williams-Sonoma, Inc."
